,nome,nos,arcos,a/g,gmax,gmin,max_fm,max_cmin,nreq,mreq,max_reqs,max_reqc,std_reqs,std_reqc,obj,metodo,tempo
0,att,90,274,3.0444444444444443,12,4,6,11,359,3.988888888888889,32,28,8.559762734877834,8.501810044482259,26,kapov_ffd cm,1.6089963912963867
1,att2,71,350,4.929577464788732,26,4,9,7,2918,41.098591549295776,72,79,20.096307357733632,19.60113329783143,113,kapov_ffd cm,26.315292358398438
2,brasil,27,140,5.185185185185185,20,4,9,6,1370,50.74074074074074,64,72,4.950466897891805,7.8622398090375505,48,kapov_bfd cm,2.4547629356384277
3,eon,20,78,3.9,14,4,7,5,373,18.65,27,26,4.145701642094274,4.738143096192854,22,kapov_bfd cm,0.42177534103393555
4,fin,31,102,3.2903225806451615,12,4,5,7,930,30.0,30,30,0.0,0.0,47,kapov_bfd cm,2.17136287689209
5,giul,39,172,4.410256410256411,16,6,7,6,14732,377.7435897435897,547,547,108.44831850598067,108.44831850598067,397,kapov_ffd cm,126.45141959190369
6,mesh10x10.100,100,400,4.0,8,8,4,10,9900,99.0,99,99,0.0,0.0,136,criaantes_bfd cm,67.41986036300659
7,mesh10x10.20,100,400,4.0,8,8,4,10,1975,19.75,28,31,3.459360015547922,3.693770349377367,31,criaantes_bfd cm,8.812719821929932
8,mesh10x10.40,100,400,4.0,8,8,4,10,3894,38.94,48,49,4.56561589326659,4.83008250133442,57,criaantes_bfd cm,19.54680371284485
9,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,85,criaantes_bfd cm,33.47218036651611
10,mesh10x10.80,100,400,4.0,8,8,4,10,7959,79.59,88,88,4.022901611242484,4.36027753726987,112,criaantes_bfd cm,49.81653714179993
11,mesh4x25.100,100,400,4.0,8,8,4,14,9900,99.0,99,99,0.0,0.0,318,criaantes_bfd cm,204.62422466278076
12,mesh4x25.20,100,400,4.0,8,8,4,14,1975,19.75,28,31,3.459360015547922,3.693770349377367,69,kapov_bfd cm,14.5300612449646
13,mesh4x25.40,100,400,4.0,8,8,4,14,3894,38.94,48,49,4.56561589326659,4.83008250133442,130,kapov_bfd cm,38.3414568901062
14,mesh4x25.60,100,400,4.0,8,8,4,14,5967,59.67,70,70,4.548404093523332,4.681912326208494,196,kapov_bfd cm,77.03111577033997
15,mesh4x25.80,100,400,4.0,8,8,4,14,7959,79.59,88,88,4.022901611242484,4.36027753726987,261,kapov_bfd cm,123.99142098426819
16,mesh5x20.100,100,400,4.0,8,8,4,12,9900,99.0,99,99,0.0,0.0,255,kapov_bfd cm,160.1702175140381
17,mesh5x20.20,100,400,4.0,8,8,4,12,1975,19.75,28,31,3.459360015547922,3.693770349377367,55,kapov_bfd cm,13.746756315231323
18,mesh5x20.40,100,400,4.0,8,8,4,12,3894,38.94,48,49,4.56561589326659,4.83008250133442,103,kapov_ffd cm,30.533132314682007
19,mesh5x20.60,100,400,4.0,8,8,4,12,5967,59.67,70,70,4.548404093523332,4.681912326208494,157,kapov_bfd cm,68.94594550132751
20,mesh5x20.80,100,400,4.0,8,8,4,12,7959,79.59,88,88,4.022901611242484,4.36027753726987,208,criaantes_bfd cm,130.1720416545868
21,mesh6x17.100,102,408,4.0,8,8,4,11,10302,101.0,101,101,0.0,0.0,220,criaantes_bfd cm,163.74902248382568
22,mesh6x17.20,102,408,4.0,8,8,4,11,1975,19.362745098039216,28,31,4.393490269280548,4.576715099577262,46,kapov_bfd cm,12.483738899230957
23,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,87,kapov_ffd cm,27.359672784805298
24,mesh6x17.60,102,408,4.0,8,8,4,11,5967,58.5,70,70,9.4552096803302,9.518871303420859,133,kapov_ffd cm,51.53048086166382
25,mesh6x17.80,102,408,4.0,8,8,4,11,7959,78.02941176470588,88,88,11.783068808321643,11.900125535865795,176,criaantes_bfd cm,108.01993155479431
26,mesh8x13.100,104,416,4.0,8,8,4,10,10712,103.0,103,103,0.0,0.0,171,criaantes_bfd cm,107.4109902381897
27,mesh8x13.20,104,416,4.0,8,8,4,10,1975,18.990384615384617,28,31,5.105670162848345,5.26113279600855,36,kapov_bfd cm,10.04458475112915
28,mesh8x13.40,104,416,4.0,8,8,4,10,3894,37.44230769230769,48,49,8.755388823907499,8.890735794767913,67,kapov_bfd cm,23.34501552581787
29,mesh8x13.60,104,416,4.0,8,8,4,10,5967,57.375,70,70,12.362790632903629,12.410602654683098,101,kapov_bfd cm,40.945810079574585
30,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,135,kapov_bfd cm,62.53899025917053
31,nsf12,14,42,3.0,8,4,4,3,551,39.357142857142854,51,53,6.499788669430164,6.605442311599439,40,kapov_ffd cm,0.49988532066345215
32,nsf212,14,44,3.142857142857143,8,6,4,3,551,39.357142857142854,51,53,6.499788669430164,6.605442311599439,40,kapov_ffd cm,0.48425960540771484
33,nsf3,14,42,3.0,8,4,4,3,285,20.357142857142858,30,27,5.077963596336064,4.325366020210453,28,kapov_bfd fm,0.23431968688964844
34,sun,27,102,3.7777777777777777,12,4,6,7,952,35.25925925925926,123,123,33.718965894117524,33.718965894117524,59,kapov_ffd fm,0.6092314720153809
35,y3-40-5,100,350,3.5,20,2,7,7,3996,39.96,54,50,4.633911016963027,4.320306760526445,60,kapov_bfd cm_fm,20.778624534606934
36,y3-60-5,100,350,3.5,20,2,7,7,5990,59.9,74,71,4.6957965299302575,4.337992832887327,88,kapov_bfd cm,35.68363809585571
37,y3-80-1,100,344,3.44,16,2,7,7,7959,79.59,88,88,4.022901611242484,4.36027753726987,123,kapov_bfd cm_fm,54.9783079624176
38,y3-80-5,100,350,3.5,20,2,7,7,7924,79.24,89,91,4.21905250505419,3.565037860878191,115,kapov_bfd cm,52.179850578308105
39,y4-100-1,100,440,4.4,20,4,9,6,9900,99.0,99,99,0.0,0.0,90,kapov_bfd cm,57.71673655509949
40,y4-20-4,100,442,4.42,24,4,9,6,1989,19.89,28,28,4.261395892133814,3.5216358687290756,21,kapov_bfd cm,8.656490802764893
41,y4-60-5,100,430,4.3,16,4,8,6,5990,59.9,74,71,4.6957965299302575,4.337992832887327,59,kapov_bfd cm,31.70478105545044
42,y4-80-1,100,440,4.4,20,4,9,6,7959,79.59,88,88,4.022901611242484,4.36027753726987,73,kapov_bfd cm,44.26196551322937
43,y4-80-5,100,430,4.3,16,4,8,6,7924,79.24,89,91,4.21905250505419,3.565037860878191,76,kapov_bfd cm,45.17035627365112
44,y5-100-1,100,570,5.7,20,4,10,5,9900,99.0,99,99,0.0,0.0,60,kapov_bfd cm,55.27313590049744
45,y5-100-2,100,504,5.04,18,4,9,5,9900,99.0,99,99,0.0,0.0,77,kapov_bfd cm,57.1339430809021
46,y5-60-1,100,570,5.7,20,4,10,5,5967,59.67,70,70,4.548404093523332,4.681912326208494,37,kapov_bfd cm,30.59705662727356
47,y5-80-1,100,570,5.7,20,4,10,5,7959,79.59,88,88,4.022901611242484,4.36027753726987,48,kapov_bfd cm,42.57477331161499
48,y5-80-2,100,504,5.04,18,4,9,5,7911,79.11,88,88,3.725139818405031,4.211324319647268,61,kapov_bfd cm,43.20553970336914
49,zib54,54,160,2.962962962962963,20,2,9,8,12230,226.4814814814815,3896,2558,599.1169835916459,476.27250566308567,599,kapov_ffd cm,184.69498944282532
