;nome;nos;arcos;a/g;gmax;gmin;max_fm;max_cmin;nreq;mreq;max_reqs;max_reqc;std_reqs;std_reqc;obj;metodo;tempo
40;y4-20-4;100;442;4.42;24;4;9;6;1989;19.89;28;28;4.261.395.892.133.810;35.216.358.687.290.700;21;kapov_bfd fm;6.922.656.536.102.290
41;y4-60-5;100;430;4.3;16;4;8;6;5990;59.9;74;71;46.957.965.299.302.500;4.337.992.832.887.320;59;kapov_bfd cm;2.098.628.568.649.290
42;y4-80-1;100;440;4.4;20;4;9;6;7959;79.59;88;88;4.022.901.611.242.480;436.027.753.726.987;74;kapov_bfd cm;28.966.475.009.918.200
43;y4-80-5;100;430;4.3;16;4;8;6;7924;79.24;89;91;421.905.250.505.419;3.565.037.860.878.190;76;kapov_bfd cm;28.535.918.474.197.300
44;y5-100-1;100;570;5.7;20;4;10;5;9900;99.0;99;99;0.0;0.0;60;kapov_bfd cm;3.983.879.208.564.750
45;y5-100-2;100;504;5.04;18;4;9;5;9900;99.0;99;99;0.0;0.0;77;kapov_ffd cm;36.701.318.979.263.300
46;y5-60-1;100;570;5.7;20;4;10;5;5967;59.67;70;70;4.548.404.093.523.330;4.681.912.326.208.490;38;kapov_bfd cm;23.715.506.315.231.300
47;y5-80-1;100;570;5.7;20;4;10;5;7959;79.59;88;88;4.022.901.611.242.480;436.027.753.726.987;50;kapov_bfd cm;3.163.719.940.185.540
48;y5-80-2;100;504;5.04;18;4;9;5;7911;79.11;88;88;3.725.139.818.405.030;4.211.324.319.647.260;62;kapov_bfd cm;30.078.686.237.335.200
49;zib54;54;160;2.962.962.962.962.960;20;2;9;8;12230;2.264.814.814.814.810;3896;2558;5.991.169.835.916.450;47.627.250.566.308.500;600;kapov_ffd cm;2.704.506.754.875.180
